"ID","Name","Gene_name","logical"
92919,"DNMBP-AS1","",FALSE
92919,"DNMBP","DNMBP",TRUE
92933,"DNMBP","DNMBP",TRUE
115773,"CD82","CD82",TRUE
116464,"MYBPC3","MYBPC3",TRUE
119411,"TNKS1BP1","TNKS1BP1",TRUE
143533,"LAG3","",FALSE
143533,"MLF2","MLF2",TRUE
143533,"PTMS","",FALSE
143536,"CD4","CD4",TRUE
143543,"CD4","CD4",TRUE
143543,"GPR162","",FALSE
143543,"LEPREL2","",FALSE
143560,"ATN1","",FALSE
143560,"C12orf57","C12orf57",TRUE
143560,"RNU7-1","",FALSE
143561,"C12orf57","C12orf57",TRUE
143561,"PTPN6","PTPN6",TRUE
143561,"U47924.31","",FALSE
143562,"EMG1","",FALSE
143562,"MIR141","",FALSE
143562,"MIR200C","",FALSE
143562,"PHB2","",FALSE
143562,"PTPN6","PTPN6",TRUE
143562,"SCARNA12","",FALSE
143562,"U47924.27","",FALSE
143562,"U47924.29","",FALSE
156215,"RP11-370I10.6","",FALSE
156215,"ZNF641","ZNF641",TRUE
156421,"LMBR1L","LMBR1L",TRUE
157614,"COPZ1","COPZ1",TRUE
157614,"NFE2","",FALSE
158201,"GLS2","GLS2",TRUE
158201,"MIP","MIP",TRUE
158201,"SPRYD4","",FALSE
158202,"GLS2","GLS2",TRUE
182354,"MIR2276","",FALSE
182354,"SPATA13","SPATA13",TRUE
182382,"SPATA13-AS1","",FALSE
182382,"SPATA13","SPATA13",TRUE
209993,"DCUN1D2","DCUN1D2",TRUE
209993,"TMCO3","TMCO3",TRUE
211340,"PRMT5-AS1","",FALSE
211340,"RBM23","RBM23",TRUE
211421,"BCL2L2","BCL2L2",TRUE
211421,"HOMEZ","",FALSE
211421,"PPP1R3E","",FALSE
211421,"RP11-124D2.7","",FALSE
211422,"BCL2L2","BCL2L2",TRUE
211422,"BCL2L2-PABPN1","",FALSE
266023,"AC135050.5","",FALSE
266023,"ZNF668","ZNF668",TRUE
266025,"ZNF668","ZNF668",TRUE
287563,"ACLY","ACLY",TRUE
287563,"TTC25","",FALSE
294286,"ARSG","ARSG",TRUE
294286,"SLC16A6","SLC16A6",TRUE
294321,"MIR635","",FALSE
294321,"WIPI1","WIPI1",TRUE
294328,"WIPI1","WIPI1",TRUE
296888,"CYTH1","CYTH1",TRUE
297071,"CBX2","CBX2",TRUE
297421,"AC174470.1","",FALSE
297421,"FAM195B","",FALSE
297421,"GCGR","GCGR",TRUE
297421,"PPP1R27","PPP1R27",TRUE
297423,"ARHGDIA","ARHGDIA",TRUE
297423,"P4HB","P4HB",TRUE
297423,"RP11-498C9.3","",FALSE
297424,"ARHGDIA","ARHGDIA",TRUE
297424,"RP11-498C9.15","",FALSE
297424,"RP11-498C9.16","",FALSE
297445,"CCDC57","",FALSE
297445,"FASN","FASN",TRUE
297460,"CCDC57","",FALSE
297460,"RP13-516M14.2","",FALSE
297460,"SLC16A3","SLC16A3",TRUE
297504,"FOXK2","FOXK2",TRUE
297525,"FOXK2","FOXK2",TRUE
297525,"RP13-638C3.3","",FALSE
297525,"snoU13","",FALSE
321912,"CTD-2369P2.10","",FALSE
321912,"CTD-2369P2.12","",FALSE
321912,"FDX1L","",FALSE
321912,"RAVER1","RAVER1",TRUE
321912,"ZGLP1","",FALSE
321913,"ICAM3","ICAM3",TRUE
321913,"RAVER1","RAVER1",TRUE
321919,"TYK2","TYK2",TRUE
321934,"ATG4D","ATG4D",TRUE
321935,"ATG4D","ATG4D",TRUE
321935,"MIR1238","",FALSE
321935,"RNU7-140P","",FALSE
321938,"CDKN2D","CDKN2D",TRUE
327704,"AC002398.11","",FALSE
327704,"AC002398.9","",FALSE
327704,"AD000671.6","",FALSE
327704,"IGFLR1","IGFLR1",TRUE
327704,"LIN37","LIN37",TRUE
327704,"PSENEN","PSENEN",TRUE
327704,"U2AF1L4","U2AF1L4",TRUE
327706,"AC002398.11","",FALSE
327706,"AC002398.12","",FALSE
327706,"C19orf55","",FALSE
327706,"HSPB6","HSPB6",TRUE
327706,"LIN37","LIN37",TRUE
337608,"OSR1","OSR1",TRUE
353933,"AC005041.17","",FALSE
353933,"LBX2-AS1","",FALSE
353933,"LBX2","LBX2",TRUE
353933,"RP11-523H20.3","",FALSE
353937,"TLX2","TLX2",TRUE
357313,"CAPG","CAPG",TRUE
357313,"SH2D6","",FALSE
361809,"NCK2","NCK2",TRUE
419037,"HELZ2","HELZ2",TRUE
439854,"MTMR14","MTMR14",TRUE
474976,"RPN1","RPN1",TRUE
492212,"KLHL6","KLHL6",TRUE
609837,"CLK4","CLK4",TRUE
618812,"HIST1H2AL","HIST1H2AL",TRUE
618812,"HIST1H2BPS2","",FALSE
619530,"HLA-E","HLA-E",TRUE
658133,"SYNJ2","SYNJ2",TRUE
661961,"AC073957.15","",FALSE
661961,"C7orf50","C7orf50",TRUE
661978,"C7orf50","C7orf50",TRUE
662034,"MAFK","MAFK",TRUE
662035,"AC093734.1","",FALSE
662035,"MAFK","MAFK",TRUE
662035,"TMEM184A","TMEM184A",TRUE
662185,"BRAT1","BRAT1",TRUE
662185,"snoU13","",FALSE
662186,"BRAT1","BRAT1",TRUE
662186,"IQCE","IQCE",TRUE
709785,"ERI1","ERI1",TRUE
720415,"SPIDR","SPIDR",TRUE
720555,"CEBPD","",FALSE
720555,"SPIDR","SPIDR",TRUE
737792,"KB-1980E6.2","",FALSE
737792,"UBR5","UBR5",TRUE
92898,".","",FALSE
92900,".","",FALSE
92914,".","",FALSE
92917,".","",FALSE
92926,".","",FALSE
92931,".","",FALSE
92934,".","",FALSE
92938,".","",FALSE
92941,".","",FALSE
92942,".","",FALSE
92944,".","",FALSE
92800,".","",FALSE
92801,".","",FALSE
92839,".","",FALSE
92840,".","",FALSE
92853,"ENTPD7","",FALSE
92869,".","",FALSE
92875,".","",FALSE
92885,".","",FALSE
92892,".","",FALSE
92893,".","",FALSE
92894,".","",FALSE
92896,".","",FALSE
92899,".","",FALSE
92901,".","",FALSE
92902,".","",FALSE
92903,".","",FALSE
92904,".","",FALSE
92908,".","",FALSE
92909,".","",FALSE
92911,".","",FALSE
92913,".","",FALSE
92915,".","",FALSE
92918,".","",FALSE
92923,".","",FALSE
92927,".","",FALSE
92928,".","",FALSE
92929,".","",FALSE
92930,".","",FALSE
115635,".","",FALSE
115641,"EXT2","",FALSE
115642,".","",FALSE
115643,".","",FALSE
115646,".","",FALSE
115778,".","",FALSE
115779,"RP11-58K22.4","",FALSE
115779,"RP11-58K22.5","",FALSE
115780,".","",FALSE
115781,".","",FALSE
115782,".","",FALSE
115783,".","",FALSE
115797,".","",FALSE
115800,".","",FALSE
115801,"TSPAN18","",FALSE
115802,".","",FALSE
115804,".","",FALSE
115806,".","",FALSE
115819,".","",FALSE
115846,".","",FALSE
115847,".","",FALSE
115848,".","",FALSE
115849,".","",FALSE
115850,".","",FALSE
115851,".","",FALSE
115852,".","",FALSE
115853,".","",FALSE
115858,".","",FALSE
115879,".","",FALSE
115890,"PRDM11","",FALSE
115891,".","",FALSE
115893,".","",FALSE
115895,".","",FALSE
115958,".","",FALSE
115960,".","",FALSE
115961,".","",FALSE
115962,".","",FALSE
115964,".","",FALSE
116428,"ARFGAP2","",FALSE
116428,"PACSIN3","",FALSE
116428,"RP11-390K5.6","",FALSE
116429,"PACSIN3","",FALSE
116429,"RP11-390K5.1","",FALSE
116434,".","",FALSE
116435,".","",FALSE
116441,".","",FALSE
116442,"MADD","",FALSE
116442,"NR1H3","",FALSE
116442,"RP11-17G12.3","",FALSE
116443,".","",FALSE
116445,".","",FALSE
116449,".","",FALSE
116452,".","",FALSE
116456,".","",FALSE
116461,".","",FALSE
116462,".","",FALSE
116475,"SLC39A13","",FALSE
108084,".","",FALSE
108088,".","",FALSE
115417,".","",FALSE
115419,"RP11-484D2.2","",FALSE
115419,"TTC17","",FALSE
115587,".","",FALSE
119268,".","",FALSE
119269,".","",FALSE
119413,"snoU13","",FALSE
119414,".","",FALSE
119415,"P2RX3","",FALSE
119415,"SSRP1","",FALSE
119416,".","",FALSE
119441,".","",FALSE
119449,".","",FALSE
119450,".","",FALSE
119451,".","",FALSE
119452,".","",FALSE
119454,".","",FALSE
119456,".","",FALSE
119457,".","",FALSE
119458,"SLC43A1","",FALSE
119459,".","",FALSE
119460,"TIMM10","",FALSE
119461,".","",FALSE
119463,".","",FALSE
119465,".","",FALSE
119467,".","",FALSE
119468,".","",FALSE
119481,".","",FALSE
119482,".","",FALSE
119483,".","",FALSE
119484,".","",FALSE
119485,".","",FALSE
119486,"MIR130A","",FALSE
119487,".","",FALSE
119488,"AP000662.4","",FALSE
119488,"CLP1","",FALSE
119488,"YPEL4","",FALSE
119489,".","",FALSE
119490,".","",FALSE
119492,".","",FALSE
119493,"ZDHHC5","",FALSE
119494,".","",FALSE
119495,".","",FALSE
119496,".","",FALSE
119497,".","",FALSE
119498,".","",FALSE
119499,".","",FALSE
119501,".","",FALSE
119502,".","",FALSE
119503,".","",FALSE
119504,".","",FALSE
119505,".","",FALSE
119506,"MED19","",FALSE
119506,"TMX2-CTNND1","",FALSE
119506,"TMX2","",FALSE
119507,".","",FALSE
119509,".","",FALSE
119510,".","",FALSE
119511,".","",FALSE
119513,"C11orf31","",FALSE
119514,"BTBD18","",FALSE
119514,"C11orf31","",FALSE
119514,"RP11-691N7.6","",FALSE
119515,"CTNND1","",FALSE
119518,".","",FALSE
119519,".","",FALSE
119520,".","",FALSE
119521,".","",FALSE
119522,".","",FALSE
119523,".","",FALSE
119524,".","",FALSE
119525,".","",FALSE
119526,".","",FALSE
119527,".","",FALSE
119528,".","",FALSE
119530,".","",FALSE
119531,".","",FALSE
119532,".","",FALSE
119535,".","",FALSE
119537,".","",FALSE
119538,".","",FALSE
119716,".","",FALSE
119717,".","",FALSE
119719,".","",FALSE
119720,"OR5B21","",FALSE
119721,".","",FALSE
119722,".","",FALSE
119723,".","",FALSE
119724,".","",FALSE
119725,".","",FALSE
119727,".","",FALSE
119728,".","",FALSE
119732,".","",FALSE
119733,".","",FALSE
119735,".","",FALSE
119736,".","",FALSE
119737,".","",FALSE
119738,".","",FALSE
119739,".","",FALSE
119740,"LPXN","",FALSE
119740,"ZFP91-CNTF","",FALSE
119740,"ZFP91","",FALSE
119741,".","",FALSE
119742,".","",FALSE
119743,".","",FALSE
119744,".","",FALSE
119745,".","",FALSE
119746,".","",FALSE
119747,".","",FALSE
119748,".","",FALSE
119749,".","",FALSE
119751,".","",FALSE
119752,".","",FALSE
119754,".","",FALSE
119755,".","",FALSE
119756,".","",FALSE
119758,".","",FALSE
119781,".","",FALSE
119782,".","",FALSE
119846,".","",FALSE
119890,".","",FALSE
119912,".","",FALSE
119913,".","",FALSE
119914,".","",FALSE
119915,"AP001258.4","",FALSE
119915,"AP001258.5","",FALSE
119915,"FAM111A","",FALSE
119916,".","",FALSE
119917,".","",FALSE
119918,".","",FALSE
119919,".","",FALSE
119921,".","",FALSE
119923,".","",FALSE
120037,".","",FALSE
120038,".","",FALSE
120049,".","",FALSE
120062,".","",FALSE
120063,".","",FALSE
120064,".","",FALSE
120065,"AP000640.2","",FALSE
120065,"PATL1","",FALSE
120066,".","",FALSE
120067,".","",FALSE
120068,".","",FALSE
120094,".","",FALSE
120107,".","",FALSE
123761,".","",FALSE
124137,"INTS4","",FALSE
125742,"PCF11","",FALSE
125785,"CCDC90B","",FALSE
125785,"RP11-727A23.10","",FALSE
125786,".","",FALSE
126778,"C11orf73","",FALSE
129245,"MED17","",FALSE
129245,"TAF1D","",FALSE
138739,"TMEM218","",FALSE
138879,"STT3A-AS1","",FALSE
138879,"STT3A","",FALSE
139060,"FAM118B","",FALSE
139060,"RP11-50B3.4","",FALSE
139060,"RPUSD4","",FALSE
143454,".","",FALSE
143455,".","",FALSE
143456,".","",FALSE
143459,".","",FALSE
143461,".","",FALSE
143466,".","",FALSE
143468,".","",FALSE
143470,".","",FALSE
143475,"CD27-AS1","",FALSE
143475,"TAPBPL","",FALSE
143476,".","",FALSE
143477,".","",FALSE
143478,"VAMP1","",FALSE
143479,".","",FALSE
143480,".","",FALSE
143482,".","",FALSE
143483,".","",FALSE
143484,".","",FALSE
143485,".","",FALSE
143486,"MRPL51","",FALSE
143486,"NCAPD2","",FALSE
143487,".","",FALSE
143488,".","",FALSE
143490,".","",FALSE
143491,".","",FALSE
143492,".","",FALSE
143493,".","",FALSE
143494,"GAPDH","",FALSE
143494,"RP5-940J5.3","",FALSE
143495,".","",FALSE
143496,".","",FALSE
143498,".","",FALSE
143499,"IFFO1","",FALSE
143500,"CHD4","",FALSE
143500,"NOP2","",FALSE
143501,"CHD4","",FALSE
143501,"RP5-940J5.6","",FALSE
143501,"SCARNA11","",FALSE
143502,".","",FALSE
143503,".","",FALSE
143504,".","",FALSE
143505,".","",FALSE
143506,"CHD4","",FALSE
143506,"LPAR5","",FALSE
143507,".","",FALSE
143508,".","",FALSE
143509,"ACRBP","",FALSE
143510,"ACRBP","",FALSE
143510,"ING4","",FALSE
143511,"ING4","",FALSE
143511,"RP4-761J14.8","",FALSE
143512,".","",FALSE
143513,".","",FALSE
143515,".","",FALSE
143516,".","",FALSE
143524,".","",FALSE
143525,".","",FALSE
143526,".","",FALSE
143527,".","",FALSE
143529,".","",FALSE
143530,".","",FALSE
143531,".","",FALSE
143537,".","",FALSE
143539,".","",FALSE
143540,".","",FALSE
143541,".","",FALSE
143542,".","",FALSE
143544,"GNB3","",FALSE
143546,".","",FALSE
143554,".","",FALSE
143557,".","",FALSE
143558,".","",FALSE
143559,".","",FALSE
143570,".","",FALSE
143571,".","",FALSE
143574,".","",FALSE
143575,".","",FALSE
143576,".","",FALSE
143577,".","",FALSE
143578,".","",FALSE
143597,".","",FALSE
143598,".","",FALSE
143599,"C1RL-AS1","",FALSE
143599,"C1RL","",FALSE
143600,".","",FALSE
143601,".","",FALSE
143602,".","",FALSE
143603,"C1RL-AS1","",FALSE
143603,"RNU6-485P","",FALSE
143604,"CLSTN3","",FALSE
143604,"RBP5","",FALSE
143604,"RP11-273B20.1","",FALSE
143605,".","",FALSE
143609,".","",FALSE
143615,".","",FALSE
143457,".","",FALSE
143458,"RN7SL391P","",FALSE
143458,"TNFRSF1A","",FALSE
143469,".","",FALSE
143472,"CD27","",FALSE
143474,".","",FALSE
143489,"NCAPD2","",FALSE
143489,"SCARNA10","",FALSE
143514,"ZNF384","",FALSE
143517,"PIANP","",FALSE
143522,"COPS7A","",FALSE
143522,"RP4-761J14.9","",FALSE
143532,"PTMS","",FALSE
143534,".","",FALSE
143555,".","",FALSE
143564,"EMG1","",FALSE
143564,"PHB2","",FALSE
143596,"C1R","",FALSE
143596,"C1RL","",FALSE
267663,".","",FALSE
143467,".","",FALSE
143519,".","",FALSE
143528,".","",FALSE
143591,".","",FALSE
143594,".","",FALSE
143606,".","",FALSE
143607,".","",FALSE
143618,".","",FALSE
143473,".","",FALSE
143548,".","",FALSE
143565,".","",FALSE
143582,".","",FALSE
143589,".","",FALSE
143590,".","",FALSE
143592,".","",FALSE
143608,".","",FALSE
143612,".","",FALSE
143770,".","",FALSE
143771,".","",FALSE
143772,".","",FALSE
143773,".","",FALSE
143774,".","",FALSE
143776,".","",FALSE
143777,".","",FALSE
143842,".","",FALSE
143843,".","",FALSE
143844,".","",FALSE
143854,".","",FALSE
143857,".","",FALSE
143858,".","",FALSE
144358,".","",FALSE
157373,"PFDN5","",FALSE
158238,"BAZ2A","",FALSE
158479,".","",FALSE
178647,"UBC","",FALSE
178648,".","",FALSE
143545,"CDCA3","",FALSE
143545,"USP5","",FALSE
158482,"CDK4","",FALSE
158482,"MARCH9","",FALSE
155648,"SLC38A1","",FALSE
156048,"RP1-197B17.3","",FALSE
156048,"RPAP3","",FALSE
156055,"RAPGEF3","",FALSE
156055,"SLC48A1","",FALSE
156059,"RAPGEF3","",FALSE
156059,"SLC48A1","",FALSE
156069,"HDAC7","",FALSE
156069,"RP5-1057I20.2","",FALSE
156080,"RP11-89H19.1","",FALSE
156080,"VDR","",FALSE
156097,"VDR","",FALSE
156100,"TMEM106C","",FALSE
156116,"RP1-228P16.5","",FALSE
156131,"RNU6-1203P","",FALSE
156139,"PFKM","",FALSE
156139,"SENP1","",FALSE
156161,".","",FALSE
156164,"ASB8","",FALSE
156165,"C12orf68","",FALSE
156166,".","",FALSE
156170,"OR10AD1","",FALSE
156207,"H1FNT","",FALSE
156261,"ANP32D","",FALSE
156268,"C12orf54","",FALSE
156275,"OR8S1","",FALSE
156275,"RP11-722P11.4","",FALSE
156296,"LALBA","",FALSE
156317,"SNORA34","",FALSE
156339,"LINC00935","",FALSE
156395,".","",FALSE
156417,".","",FALSE
156418,".","",FALSE
156441,".","",FALSE
156445,".","",FALSE
156446,".","",FALSE
156448,".","",FALSE
156449,".","",FALSE
156450,".","",FALSE
156451,".","",FALSE
156452,".","",FALSE
156453,".","",FALSE
156454,".","",FALSE
156455,".","",FALSE
156456,".","",FALSE
156457,".","",FALSE
156461,".","",FALSE
156464,".","",FALSE
156466,".","",FALSE
156476,".","",FALSE
157344,"IGFBP6","",FALSE
157379,"AAAS","",FALSE
157393,"SP1","",FALSE
157421,"MAP3K12","",FALSE
157422,"NPFF","",FALSE
157422,"RP11-793H13.10","",FALSE
157422,"RP11-793H13.11","",FALSE
157422,"TARBP2","",FALSE
157455,"ATF7","",FALSE
157455,"RP11-793H13.10","",FALSE
157465,"ATP5G2","",FALSE
157470,".","",FALSE
157475,"CALCOCO1","",FALSE
157497,"SNORD81","",FALSE
157532,"HOXC13-AS","",FALSE
157532,"HOXC13","",FALSE
157537,"HOTAIR","",FALSE
157537,"HOXC11","",FALSE
157541,"MIR196A2","",FALSE
157542,"HOXC6","",FALSE
157542,"HOXC9","",FALSE
157542,"HOXC-AS1","",FALSE
157542,"HOXC-AS2","",FALSE
157543,"HOXC8","",FALSE
157546,"AC012531.25","",FALSE
157546,"HOXC4","",FALSE
157546,"RP11-834C11.14","",FALSE
157548,"HOXC4","",FALSE
157548,"HOXC5","",FALSE
157548,"HOXC6","",FALSE
157548,"MIR615","",FALSE
157584,"SMUG1","",FALSE
157603,"RP11-968A15.2","",FALSE
157607,"CBX5","",FALSE
157607,"HNRNPA1","",FALSE
157607,"RP11-968A15.8","",FALSE
157616,"RNU6-950P","",FALSE
157620,"MIR148B","",FALSE
157630,"GPR84","",FALSE
157637,"ZNF385A","",FALSE
157645,"ITGA5","",FALSE
157645,"RP11-753H16.3","",FALSE
157674,"GTSF1","",FALSE
157685,"NCKAP1L","",FALSE
157692,"RP11-1049A21.2","",FALSE
157693,"PDE1B","",FALSE
157815,"TESPA1","",FALSE
158036,"BLOC1S1","",FALSE
158036,"ITGA7","",FALSE
158036,"RP11-644F5.10","",FALSE
158053,"ORMDL2","",FALSE
158053,"SARNP","",FALSE
158078,"CDK2","",FALSE
158078,"PMEL","",FALSE
158078,"RAB5B","",FALSE
158078,"RP11-973D8.4","",FALSE
158096,"RP11-603J24.4","",FALSE
158096,"RPS26","",FALSE
158141,"NABP2","",FALSE
158141,"RNF41","",FALSE
158499,"CTDSP2","",FALSE
158499,"RP11-620J15.1","",FALSE
158110,"PA2G4","",FALSE
158111,"PA2G4","",FALSE
158111,"RP11-603J24.17","",FALSE
158111,"RPL41","",FALSE
158115,"RP11-603J24.6","",FALSE
158130,"RP11-977G19.5","",FALSE
158130,"SMARCC2","",FALSE
158131,".","",FALSE
158133,".","",FALSE
158135,".","",FALSE
158136,".","",FALSE
158142,"NABP2","",FALSE
158142,"SLC39A5","",FALSE
158145,".","",FALSE
158146,"ANKRD52","",FALSE
158146,"COQ10A","",FALSE
158147,"COQ10A","",FALSE
158147,"CS","",FALSE
158147,"RP11-977G19.14","",FALSE
158155,".","",FALSE
158156,"RP11-977G19.12","",FALSE
158175,"STAT2","",FALSE
158225,".","",FALSE
158114,".","",FALSE
158116,".","",FALSE
158117,".","",FALSE
158127,".","",FALSE
158129,".","",FALSE
158137,".","",FALSE
158144,".","",FALSE
158160,".","",FALSE
158162,".","",FALSE
158204,".","",FALSE
158216,".","",FALSE
158218,".","",FALSE
158219,".","",FALSE
158222,"RNU6-343P","",FALSE
158223,".","",FALSE
158226,".","",FALSE
158227,".","",FALSE
158230,".","",FALSE
158231,".","",FALSE
158233,".","",FALSE
158235,".","",FALSE
158237,".","",FALSE
158239,".","",FALSE
182103,".","",FALSE
182105,".","",FALSE
182106,".","",FALSE
182107,".","",FALSE
182108,".","",FALSE
182109,".","",FALSE
182119,".","",FALSE
182133,".","",FALSE
182135,".","",FALSE
182167,".","",FALSE
182168,".","",FALSE
182301,".","",FALSE
182302,".","",FALSE
182303,".","",FALSE
182304,".","",FALSE
182305,".","",FALSE
182306,".","",FALSE
182307,".","",FALSE
182308,".","",FALSE
182310,".","",FALSE
182311,".","",FALSE
182312,".","",FALSE
182313,".","",FALSE
182314,".","",FALSE
182315,".","",FALSE
182316,".","",FALSE
182317,".","",FALSE
182318,".","",FALSE
182351,".","",FALSE
182372,".","",FALSE
181181,".","",FALSE
181474,"SAP18","",FALSE
181593,"MICU2","",FALSE
181594,".","",FALSE
181613,".","",FALSE
182095,".","",FALSE
182110,".","",FALSE
182120,".","",FALSE
182131,".","",FALSE
182229,".","",FALSE
182278,".","",FALSE
182280,"C1QTNF9B","",FALSE
182281,".","",FALSE
182282,".","",FALSE
182283,".","",FALSE
182292,".","",FALSE
182293,".","",FALSE
182294,".","",FALSE
182295,".","",FALSE
182296,".","",FALSE
182297,".","",FALSE
182300,".","",FALSE
182309,".","",FALSE
182377,".","",FALSE
182379,".","",FALSE
182384,".","",FALSE
182385,".","",FALSE
182386,".","",FALSE
182387,".","",FALSE
182388,".","",FALSE
182391,".","",FALSE
182423,".","",FALSE
182439,".","",FALSE
182440,".","",FALSE
182441,"PARP4","",FALSE
182479,".","",FALSE
182481,".","",FALSE
182482,".","",FALSE
182515,".","",FALSE
182516,".","",FALSE
182517,".","",FALSE
182518,".","",FALSE
182519,".","",FALSE
182561,".","",FALSE
182668,".","",FALSE
182672,".","",FALSE
182673,".","",FALSE
182675,".","",FALSE
183495,"PAN3-AS1","",FALSE
183495,"PAN3","",FALSE
189204,".","",FALSE
189205,".","",FALSE
190839,".","",FALSE
190939,".","",FALSE
190942,".","",FALSE
209880,".","",FALSE
209926,".","",FALSE
210022,".","",FALSE
210035,".","",FALSE
210036,".","",FALSE
210039,".","",FALSE
210071,".","",FALSE
210072,".","",FALSE
210073,".","",FALSE
210074,".","",FALSE
210083,".","",FALSE
210086,".","",FALSE
210106,".","",FALSE
210107,".","",FALSE
210109,".","",FALSE
210130,".","",FALSE
419141,"PCMTD2","",FALSE
419142,".","",FALSE
210873,"TMEM253","",FALSE
210873,"ZNF219","",FALSE
210874,"ZNF219","",FALSE
210951,"CHD8","",FALSE
210968,"METTL3","",FALSE
210969,"AE000658.22","",FALSE
210969,"SALL2","",FALSE
210972,"SALL2","",FALSE
211257,"AE000662.92","",FALSE
211257,"AE000662.93","",FALSE
211258,".","",FALSE
211261,".","",FALSE
211262,".","",FALSE
211265,".","",FALSE
211268,".","",FALSE
211269,"DAD1","",FALSE
211270,".","",FALSE
211271,"ABHD4","",FALSE
211282,"OR6J1","",FALSE
211314,"CTD-2555K7.2","",FALSE
211314,"OXA1L","",FALSE
211322,"AL135998.1","",FALSE
211322,"MRPL52","",FALSE
211322,"SLC7A7","",FALSE
211323,"MMP14","",FALSE
211327,"LRP10","",FALSE
211327,"REM2","",FALSE
211327,"Y_RNA","",FALSE
211342,"PRMT5","",FALSE
211342,"RP11-298I3.1","",FALSE
211348,"HAUS4","",FALSE
211348,"MIR4707","",FALSE
211356,"AJUBA","",FALSE
211356,"RP11-298I3.4","",FALSE
211356,"RP11-298I3.5","",FALSE
211367,"C14orf93","",FALSE
211367,"SNORA73","",FALSE
211371,"AL132780.1","",FALSE
211371,"PSMB11","",FALSE
211371,"PSMB5","",FALSE
211373,"ACIN1","",FALSE
211373,"CDH24","",FALSE
211383,"ACIN1","",FALSE
211383,"C14orf119","",FALSE
211384,"ACIN1","",FALSE
